NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS		41	-0.19443813	-0.55592656	0.9897436	1.0	1.0	8055	tags=22%, list=22%, signal=28%	
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT		37	-0.20219474	-0.5556421	0.9951691	1.0	1.0	7046	tags=16%, list=19%, signal=20%	
GOBP_P38MAPK_CASCADE	GOBP_P38MAPK_CASCADE		70	-0.17838418	-0.5552311	1.0	1.0	1.0	8959	tags=23%, list=24%, signal=30%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION		155	-0.15922515	-0.5545067	1.0	1.0	1.0	9191	tags=26%, list=25%, signal=35%	
GOBP_REGULATION_OF_ACTIN_NUCLEATION	GOBP_REGULATION_OF_ACTIN_NUCLEATION		37	-0.19928792	-0.5539064	0.9914676	1.0	1.0	8869	tags=14%, list=24%, signal=18%	
GOBP_CERAMIDE_BIOSYNTHETIC_PROCESS	GOBP_CERAMIDE_BIOSYNTHETIC_PROCESS		76	-0.17681356	-0.55308187	0.9984277	1.0	1.0	8933	tags=20%, list=24%, signal=26%	
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS		25	-0.21550587	-0.55277264	0.9927798	1.0	1.0	686	tags=4%, list=2%, signal=4%	
GOBP_PEPTIDYL_LYSINE_ACETYLATION	GOBP_PEPTIDYL_LYSINE_ACETYLATION		26	-0.2160817	-0.5525911	0.99159664	1.0	1.0	2961	tags=4%, list=8%, signal=4%	
GOBP_INTRACELLULAR_MRNA_LOCALIZATION	GOBP_INTRACELLULAR_MRNA_LOCALIZATION		18	-0.22868438	-0.5525182	0.9843478	1.0	1.0	28506	tags=100%, list=77%, signal=437%	
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING		42	-0.19352894	-0.5525026	0.99657536	1.0	1.0	2489	tags=5%, list=7%, signal=5%	
GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY		30	-0.20840502	-0.55241215	0.99501663	1.0	1.0	9248	tags=23%, list=25%, signal=31%	
GOBP_CHOLESTEROL_IMPORT	GOBP_CHOLESTEROL_IMPORT		16	-0.23558679	-0.5521324	0.98188406	1.0	1.0	2782	tags=6%, list=8%, signal=7%	
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY		150	-0.16310994	-0.5520864	1.0	1.0	1.0	8203	tags=13%, list=22%, signal=17%	
GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS		94	-0.1697408	-0.55084795	1.0	1.0	1.0	8148	tags=17%, list=22%, signal=22%	
GOBP_CELL_VOLUME_HOMEOSTASIS	GOBP_CELL_VOLUME_HOMEOSTASIS		38	-0.19885205	-0.55027413	0.99836063	1.0	1.0	7602	tags=13%, list=21%, signal=17%	
GOBP_INTERMEMBRANE_LIPID_TRANSFER	GOBP_INTERMEMBRANE_LIPID_TRANSFER		41	-0.19509344	-0.5480915	0.995114	1.0	1.0	5793	tags=10%, list=16%, signal=12%	
GOBP_GROWTH_HORMONE_SECRETION	GOBP_GROWTH_HORMONE_SECRETION		19	-0.22733673	-0.5478217	0.98880595	1.0	1.0	28556	tags=100%, list=77%, signal=440%	
GOBP_RESPONSE_TO_INTERLEUKIN_17	GOBP_RESPONSE_TO_INTERLEUKIN_17		24	-0.21462303	-0.5465871	0.9846678	1.0	1.0	13537	tags=46%, list=37%, signal=72%	
GOBP_ERBB2_SIGNALING_PATHWAY	GOBP_ERBB2_SIGNALING_PATHWAY		23	-0.21433017	-0.5464517	0.9814815	1.0	1.0	5789	tags=17%, list=16%, signal=21%	
GOBP_SPHINGOLIPID_MEDIATED_SIGNALING_PATHWAY	GOBP_SPHINGOLIPID_MEDIATED_SIGNALING_PATHWAY		21	-0.223079	-0.54626215	0.99325466	1.0	1.0	8933	tags=29%, list=24%, signal=38%	
GOBP_RESPONSE_TO_ACTIVITY	GOBP_RESPONSE_TO_ACTIVITY		85	-0.17180036	-0.545999	1.0	1.0	1.0	8953	tags=24%, list=24%, signal=31%	
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE	GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE		31	-0.20413582	-0.54599667	0.9928952	1.0	1.0	2239	tags=3%, list=6%, signal=3%	
GOBP_SISTER_CHROMATID_COHESION	GOBP_SISTER_CHROMATID_COHESION		58	-0.18209317	-0.54455674	0.9984326	1.0	1.0	7286	tags=12%, list=20%, signal=15%	
GOBP_GLUTAMATE_METABOLIC_PROCESS	GOBP_GLUTAMATE_METABOLIC_PROCESS		34	-0.20000364	-0.5443867	0.9934102	1.0	1.0	8374	tags=24%, list=23%, signal=30%	
GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	GOBP_GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT		45	-0.19010459	-0.5441631	0.9982699	1.0	1.0	29936	tags=100%, list=81%, signal=526%	
GOBP_PENTOSE_PHOSPHATE_SHUNT	GOBP_PENTOSE_PHOSPHATE_SHUNT		22	-0.21505171	-0.5434905	0.9964349	1.0	1.0	8104	tags=14%, list=22%, signal=17%	
GOBP_RESPONSE_TO_GROWTH_HORMONE	GOBP_RESPONSE_TO_GROWTH_HORMONE		34	-0.19798467	-0.5433158	1.0	1.0	1.0	29643	tags=100%, list=80%, signal=505%	
GOBP_PROTEIN_IMPORT	GOBP_PROTEIN_IMPORT		15	-0.2340167	-0.5423735	0.980322	1.0	1.0	4269	tags=13%, list=12%, signal=15%	
GOBP_AMINO_ACID_ACTIVATION	GOBP_AMINO_ACID_ACTIVATION		45	-0.1847396	-0.54154146	1.0	1.0	1.0	30134	tags=100%, list=82%, signal=541%	
GOBP_MACROMOLECULE_DEPALMITOYLATION	GOBP_MACROMOLECULE_DEPALMITOYLATION		15	-0.23524475	-0.54127103	0.9856115	1.0	1.0	28263	tags=100%, list=76%, signal=425%	
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY		29	-0.2026229	-0.54061365	0.9933993	1.0	1.0	3668	tags=7%, list=10%, signal=8%	
GOBP_BLOOD_VESSEL_REMODELING	GOBP_BLOOD_VESSEL_REMODELING		61	-0.17811377	-0.54016924	1.0	1.0	1.0	8757	tags=23%, list=24%, signal=30%	
GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_DNA_COMPLEX_ORGANIZATION		170	-0.15594365	-0.5393674	1.0	1.0	1.0	4978	tags=4%, list=13%, signal=5%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS		32	-0.19853608	-0.5390765	0.9931153	1.0	1.0	8195	tags=16%, list=22%, signal=20%	
GOBP_RESPONSE_TO_AMYLOID_BETA	GOBP_RESPONSE_TO_AMYLOID_BETA		49	-0.18593246	-0.53842753	1.0	1.0	1.0	8971	tags=24%, list=24%, signal=32%	
GOBP_PTERIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_PTERIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS		15	-0.23131904	-0.53838444	0.98395723	1.0	1.0	28408	tags=100%, list=77%, signal=432%	
GOBP_REGULATION_OF_LIPID_TRANSPORT	GOBP_REGULATION_OF_LIPID_TRANSPORT		148	-0.15818177	-0.5382397	1.0	1.0	1.0	8851	tags=20%, list=24%, signal=27%	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	GOBP_REGULATION_OF_RECEPTOR_RECYCLING		27	-0.20571016	-0.5382007	0.9808028	1.0	1.0	2004	tags=4%, list=5%, signal=4%	
GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY		21	-0.219308	-0.53801924	0.9913345	1.0	1.0	4666	tags=10%, list=13%, signal=11%	
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT	GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_EMBRYONIC_PLACENTA_DEVELOPMENT		30	-0.20181479	-0.5374618	0.9982669	1.0	1.0	6230	tags=10%, list=17%, signal=12%	
GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION		125	-0.16029276	-0.5360818	1.0	1.0	1.0	3045	tags=3%, list=8%, signal=3%	
