NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT		48	0.53360224	1.682465	0.0025974025	0.2196968	1.0	3703	tags=13%, list=10%, signal=14%	
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_REGULATION_OF_THE_RELEASE_OF_SEQUESTERED_CALCIUM_ION		16	0.6902066	1.6806873	0.004237288	0.21917683	1.0	6839	tags=25%, list=19%, signal=31%	
GOBP_EPIDERMIS_MORPHOGENESIS	GOBP_EPIDERMIS_MORPHOGENESIS		41	0.55628866	1.6767223	0.002444988	0.22465397	1.0	10444	tags=51%, list=28%, signal=71%	
GOBP_CELL_CELL_JUNCTION_MAINTENANCE	GOBP_CELL_CELL_JUNCTION_MAINTENANCE		23	0.6211859	1.6750507	0.013215859	0.225183	1.0	270	tags=9%, list=1%, signal=9%	
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING		21	0.6376859	1.6702582	0.0045871558	0.23431648	1.0	7445	tags=24%, list=20%, signal=30%	
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION		27	0.61186963	1.6686425	0.014669927	0.23417814	1.0	3773	tags=26%, list=10%, signal=29%	
GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION		34	0.55937296	1.6663357	0.0099502485	0.23639826	1.0	4935	tags=26%, list=13%, signal=31%	
GOBP_BONE_TRABECULA_MORPHOGENESIS	GOBP_BONE_TRABECULA_MORPHOGENESIS		17	0.67555416	1.6647476	0.006437768	0.23704892	1.0	7290	tags=35%, list=20%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		19	0.6551325	1.6638399	0.008928572	0.23548242	1.0	3703	tags=21%, list=10%, signal=23%	
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION		17	0.66334444	1.6618055	0.008714597	0.23641767	1.0	1605	tags=24%, list=4%, signal=25%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE		67	0.50223625	1.6589568	0.0	0.23914354	1.0	6246	tags=18%, list=17%, signal=22%	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION	GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION		17	0.683559	1.656436	0.006756757	0.24184586	1.0	1049	tags=12%, list=3%, signal=12%	
GOBP_RESPONSE_TO_HEAT	GOBP_RESPONSE_TO_HEAT		95	0.47241807	1.6561573	0.0	0.23880738	1.0	2668	tags=9%, list=7%, signal=10%	
GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS		20	0.6513695	1.6440871	0.020594966	0.26619044	1.0	4003	tags=25%, list=11%, signal=28%	
GOBP_NEURON_FATE_SPECIFICATION	GOBP_NEURON_FATE_SPECIFICATION		33	0.5550957	1.6281095	0.010025063	0.31130666	1.0	4289	tags=36%, list=12%, signal=41%	
GOBP_PROTEIN_HETEROOLIGOMERIZATION	GOBP_PROTEIN_HETEROOLIGOMERIZATION		32	0.56394655	1.6219	0.00877193	0.3275011	1.0	2145	tags=13%, list=6%, signal=13%	
GOBP_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION		34	0.5640135	1.6218349	0.009852217	0.32286245	1.0	3010	tags=15%, list=8%, signal=16%	
GOBP_SKELETAL_MUSCLE_CONTRACTION	GOBP_SKELETAL_MUSCLE_CONTRACTION		50	0.50962585	1.6201587	0.0054347827	0.32362905	1.0	5842	tags=26%, list=16%, signal=31%	
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION		43	0.5305004	1.6187826	0.0027027028	0.3230207	1.0	5552	tags=23%, list=15%, signal=27%	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION		49	0.51688623	1.6107887	0.0099502485	0.3440438	1.0	1272	tags=4%, list=3%, signal=4%	
GOBP_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS	GOBP_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS		22	0.6127105	1.610489	0.01750547	0.3403909	1.0	2072	tags=18%, list=6%, signal=19%	
GOBP_REGULATION_OF_SPINDLE_CHECKPOINT	GOBP_REGULATION_OF_SPINDLE_CHECKPOINT		25	0.6048251	1.60639	0.016470589	0.3497643	1.0	6922	tags=24%, list=19%, signal=30%	
GOBP_CELLULAR_RESPONSE_TO_ALKALOID	GOBP_CELLULAR_RESPONSE_TO_ALKALOID		38	0.54417163	1.6032968	0.004576659	0.35483292	1.0	7174	tags=29%, list=19%, signal=36%	
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL		178	0.41805854	1.6006361	0.0	0.35884565	1.0	4202	tags=19%, list=11%, signal=21%	
GOBP_RESPONSE_TO_X_RAY	GOBP_RESPONSE_TO_X_RAY		29	0.5739142	1.5997815	0.014492754	0.35710996	1.0	5140	tags=17%, list=14%, signal=20%	
GOBP_CARDIAC_ATRIUM_MORPHOGENESIS	GOBP_CARDIAC_ATRIUM_MORPHOGENESIS		33	0.55394363	1.5986776	0.009411764	0.3570159	1.0	10577	tags=45%, list=29%, signal=64%	
GOBP_VITAMIN_BIOSYNTHETIC_PROCESS	GOBP_VITAMIN_BIOSYNTHETIC_PROCESS		26	0.5940254	1.598021	0.014962593	0.3550121	1.0	5978	tags=23%, list=16%, signal=28%	
GOBP_RESPONSE_TO_CAFFEINE	GOBP_RESPONSE_TO_CAFFEINE		17	0.65609187	1.5966897	0.024830699	0.35462806	1.0	6839	tags=35%, list=19%, signal=43%	
GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING	GOBP_REGULATION_OF_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING		16	0.64307624	1.596166	0.02183406	0.3520473	1.0	1296	tags=13%, list=4%, signal=13%	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD		15	0.666333	1.5959078	0.011709602	0.34876946	1.0	3767	tags=27%, list=10%, signal=30%	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT		19	0.62184805	1.593994	0.019002376	0.35077196	1.0	9494	tags=53%, list=26%, signal=71%	
GOBP_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS	GOBP_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS		16	0.6499236	1.5935408	0.020179372	0.3483037	1.0	5552	tags=25%, list=15%, signal=29%	
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT	GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT		70	0.4722685	1.5915536	0.0028571428	0.35009703	1.0	5842	tags=21%, list=16%, signal=25%	
GOBP_MUSCLE_CELL_DEVELOPMENT	GOBP_MUSCLE_CELL_DEVELOPMENT		237	0.40463644	1.588435	0.0	0.35553724	1.0	10187	tags=29%, list=28%, signal=39%	
GOBP_SEQUESTERING_OF_CALCIUM_ION	GOBP_SEQUESTERING_OF_CALCIUM_ION		125	0.43472397	1.5836828	0.0	0.3683555	1.0	7371	tags=22%, list=20%, signal=27%	
GOBP_TRABECULA_MORPHOGENESIS	GOBP_TRABECULA_MORPHOGENESIS		53	0.48735645	1.580117	0.005235602	0.37695265	1.0	4073	tags=13%, list=11%, signal=15%	
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION		33	0.5540566	1.5801132	0.015228426	0.37273815	1.0	6935	tags=21%, list=19%, signal=26%	
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT		49	0.5048406	1.5797205	0.011142061	0.37030485	1.0	3441	tags=14%, list=9%, signal=16%	
GOBP_HEART_TRABECULA_FORMATION	GOBP_HEART_TRABECULA_FORMATION		15	0.6653589	1.578222	0.019148936	0.37151185	1.0	2421	tags=20%, list=7%, signal=21%	
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS	GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS		147	0.42651904	1.5770344	0.0	0.37164572	1.0	4117	tags=15%, list=11%, signal=17%	
GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY		26	0.56801426	1.5716059	0.017977528	0.38580948	1.0	2435	tags=19%, list=7%, signal=21%	
GOBP_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT		16	0.6621279	1.5706447	0.01746725	0.3848065	1.0	3441	tags=25%, list=9%, signal=28%	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN		25	0.5867988	1.5694641	0.018604651	0.384773	1.0	5346	tags=24%, list=14%, signal=28%	
GOBP_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES	GOBP_ISOTYPE_SWITCHING_TO_IGG_ISOTYPES		16	0.6496128	1.5683289	0.01590909	0.38477635	1.0	3535	tags=19%, list=10%, signal=21%	
GOBP_VITAMIN_TRANSPORT	GOBP_VITAMIN_TRANSPORT		54	0.4887747	1.5646793	0.0072815535	0.39361528	1.0	11072	tags=43%, list=30%, signal=61%	
GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION	GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION		33	0.5450646	1.5645721	0.020179372	0.38997275	1.0	3412	tags=18%, list=9%, signal=20%	
GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION	GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION		36	0.52600795	1.5611469	0.017977528	0.3977858	1.0	3773	tags=19%, list=10%, signal=22%	
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	GOBP_CARDIAC_CHAMBER_MORPHOGENESIS		143	0.42339864	1.5603448	0.0	0.3966106	1.0	10187	tags=24%, list=28%, signal=34%	
GOBP_MUSCLE_SYSTEM_PROCESS	GOBP_MUSCLE_SYSTEM_PROCESS		496	0.37286264	1.5568304	0.0	0.4054016	1.0	5609	tags=14%, list=15%, signal=16%	
GOBP_POSITIVE_REGULATION_OF_CELL_SIZE	GOBP_POSITIVE_REGULATION_OF_CELL_SIZE		22	0.58125764	1.5509288	0.018604651	0.4226192	1.0	5626	tags=18%, list=15%, signal=21%	
GOBP_FC_RECEPTOR_SIGNALING_PATHWAY	GOBP_FC_RECEPTOR_SIGNALING_PATHWAY		21	0.60504496	1.5505931	0.02232143	0.41964436	1.0	880	tags=19%, list=2%, signal=20%	
GOBP_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION	GOBP_POSITIVE_REGULATION_OF_TRANSLATIONAL_INITIATION		49	0.50178707	1.5499696	0.017766498	0.4178986	1.0	6	tags=2%, list=0%, signal=2%	
GOBP_URATE_METABOLIC_PROCESS	GOBP_URATE_METABOLIC_PROCESS		18	0.60828155	1.5498924	0.033333335	0.4142337	1.0	3941	tags=33%, list=11%, signal=37%	
GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL		24	0.5639927	1.5463365	0.023866348	0.42259252	1.0	4935	tags=33%, list=13%, signal=38%	
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		91	0.4423742	1.5452805	0.0	0.42212254	1.0	4608	tags=14%, list=12%, signal=16%	
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION		38	0.51947045	1.5442979	0.015075377	0.4219871	1.0	4935	tags=21%, list=13%, signal=24%	
GOBP_GANGLION_DEVELOPMENT	GOBP_GANGLION_DEVELOPMENT		15	0.6415338	1.5409372	0.025641026	0.42942026	1.0	3441	tags=20%, list=9%, signal=22%	
GOBP_MEIOTIC_SPINDLE_ASSEMBLY	GOBP_MEIOTIC_SPINDLE_ASSEMBLY		18	0.62216306	1.5359694	0.03131524	0.44324717	1.0	2439	tags=17%, list=7%, signal=18%	
GOBP_VOCALIZATION_BEHAVIOR	GOBP_VOCALIZATION_BEHAVIOR		20	0.5872491	1.535413	0.03160271	0.4412093	1.0	8592	tags=45%, list=23%, signal=59%	
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL		181	0.4032225	1.5352199	0.0	0.43805835	1.0	7387	tags=23%, list=20%, signal=29%	
GOBP_COCHLEA_MORPHOGENESIS	GOBP_COCHLEA_MORPHOGENESIS		28	0.54177827	1.5337261	0.032183908	0.4400592	1.0	5449	tags=25%, list=15%, signal=29%	
GOBP_CALCIUM_ION_IMPORT	GOBP_CALCIUM_ION_IMPORT		84	0.4420935	1.5319641	0.0027247956	0.44253904	1.0	7558	tags=27%, list=20%, signal=34%	
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE		18	0.5995385	1.5304239	0.037037037	0.44445443	1.0	3535	tags=28%, list=10%, signal=31%	
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	GOBP_CARDIAC_VENTRICLE_DEVELOPMENT		146	0.41305834	1.5282999	0.0	0.44884366	1.0	5552	tags=14%, list=15%, signal=16%	
GOBP_CELLULAR_RESPONSE_TO_ETHANOL	GOBP_CELLULAR_RESPONSE_TO_ETHANOL		21	0.5806699	1.5238496	0.027088037	0.46243125	1.0	10544	tags=48%, list=29%, signal=67%	
GOBP_REGULATION_OF_HEART_CONTRACTION	GOBP_REGULATION_OF_HEART_CONTRACTION		202	0.39719185	1.5230108	0.0	0.4616797	1.0	5071	tags=17%, list=14%, signal=19%	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX		15	0.63717026	1.5214045	0.036117382	0.46434197	1.0	1272	tags=7%, list=3%, signal=7%	
GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		133	0.40780073	1.5210111	0.0	0.4617193	1.0	2656	tags=12%, list=7%, signal=13%	
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT		65	0.45524114	1.5181859	0.010666667	0.46806547	1.0	3703	tags=12%, list=10%, signal=14%	
GOBP_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE		41	0.5023759	1.5084369	0.014705882	0.50279486	1.0	4313	tags=20%, list=12%, signal=22%	
